code_commune_insee;nom_de_la_commune;code_postal;ligne_5;libelle_d_acheminement;coordonnees_gps
25620;VILLE DU PONT;25650;;VILLE DU PONT;46.999873398,6.498147193
25624;VILLERS GRELOT;25640;;VILLERS GRELOT;47.361512085,6.235167025
26001;SOLAURE EN DIOIS;26150;AIX EN DIOIS;SOLAURE EN DIOIS;44.70587354,5.387770455
26003;ALEYRAC;26770;;ALEYRAC;44.499150841,4.946083614
26009;ANDANCETTE;26140;;ANDANCETTE;45.246625023,4.812717032
26011;AOUSTE SUR SYE;26400;;AOUSTE SUR SYE;44.706856708,5.057320177
26013;ARPAVON;26110;;ARPAVON;44.371127022,5.273184253
26021;AUTICHAMP;26400;;AUTICHAMP;44.683240066,4.972677118
26024;BARCELONNE;26120;;BARCELONNE;44.867074421,5.054652574
26026;BARRET DE LIOURE;26570;;BARRET DE LIOURE;44.175483103,5.516253783
26027;BARSAC;26150;;BARSAC;44.726373096,5.304155411
26028;BATHERNAY;26260;;BATHERNAY;45.183429046,4.998168321
26033;LA BAUME DE TRANSIT;26790;;LA BAUME DE TRANSIT;44.327387474,4.869450955
26038;BEAUMONT MONTEUX;26600;;BEAUMONT MONTEUX;45.033176004,4.921702639
26040;BEAURIERES;26310;;BEAURIERES;44.560126656,5.553853155
26051;BEZAUDUN SUR BINE;26460;;BEZAUDUN SUR BINE;44.611710841,5.175449337
26056;BOURDEAUX;26460;;BOURDEAUX;44.57876787,5.151124196
26060;BOUVIERES;26460;;BOUVIERES;44.52091004,5.221164785
26064;CHABEUIL;26120;PARLANGES;CHABEUIL;44.908639476,5.007084576
26067;CHALANCON;26470;;CHALANCON;44.5274038,5.339272438
26076;CHARENS;26310;;CHARENS;44.54286183,5.509191265
26082;CHATEAUNEUF DE BORDETTE;26110;;CHATEAUNEUF DE BORDETTE;44.336806994,5.17086927
26083;CHATEAUNEUF DE GALAURE;26330;;CHATEAUNEUF DE GALAURE;45.23598326,4.95925674
26086;CHATILLON EN DIOIS;26410;TRESCHENU CREYERS;CHATILLON EN DIOIS;44.727672729,5.527827656
26090;LA CHAUDIERE;26340;;LA CHAUDIERE;44.631140483,5.224912381
26093;CLANSAYES;26130;;CLANSAYES;44.377976303,4.806308645
26097;CLIOUSCLAT;26270;;CLIOUSCLAT;44.722047778,4.832868734
26099;COLONZELLE;26230;;COLONZELLE;44.38487682,4.899898328
26108;CREST;26400;;CREST;44.733139856,5.021931769
26112;CURNIER;26110;;CURNIER;44.38698497,5.234232765
26113;DIE;26150;;DIE;44.748135652,5.376835914
26119;EROME;26600;;EROME;45.126817119,4.835207264
26122;ESPENEL;26340;;ESPENEL;44.686022696,5.234501067
26125;EURRE;26400;;EURRE;44.758105707,4.975927993
26128;EYGLUY ESCOULIN;26400;;EYGLUY ESCOULIN;44.798414148,5.209675856
26130;EYROLES;26110;;EYROLES;44.416941616,5.242384054
26136;VAL MARAVEL;26310;LE PILHON;VAL MARAVEL;44.591680075,5.587222071
26145;LES GRANGES GONTARDES;26290;;LES GRANGES GONTARDES;44.428317184,4.756713824
26146;GRIGNAN;26230;;GRIGNAN;44.436987743,4.901501193
26155;LAPEYROUSE MORNAY;26210;;LAPEYROUSE MORNAY;45.328105714,4.988742933
26156;LARNAGE;26600;;LARNAGE;45.099110897,4.862530714
26171;MANAS;26160;;MANAS;44.601465269,4.980622769
26176;MARSANNE;26740;;MARSANNE;44.639898191,4.88338978
26195;MONTCLAR SUR GERVANNE;26400;;MONTCLAR SUR GERVANNE;44.747893678,5.158027662
26198;MONTELIMAR;26200;;MONTELIMAR;44.553792081,4.748427225
26201;MONTGUERS;26170;;MONTGUERS;44.302079999,5.472252647
26203;MONTJOYER;26230;;MONTJOYER;44.482613791,4.877866708
26210;VALHERBASSE;26350;MIRIBEL;VALHERBASSE;45.216168208,5.138541371
26210;VALHERBASSE;26350;MONTRIGAUD;VALHERBASSE;45.216168208,5.138541371
26223;ORIOL EN ROYANS;26190;;ORIOL EN ROYANS;44.990328694,5.251299366
26225;PARNANS;26750;;PARNANS;45.11339958,5.158848337
26226;LE PEGUE;26770;;LE PEGUE;44.444502571,5.069366063
26235;PIERRELATTE;26700;;PIERRELATTE;44.360834471,4.6872527260000005
26241;LE POET CELARD;26460;;LE POET CELARD;44.598176096,5.101350312
26246;PONET ET ST AUBAN;26150;;PONET ET ST AUBAN;44.778467437,5.313466041
26251;PORTES EN VALDAINE;26160;;PORTES EN VALDAINE;44.52202113,4.914613989
26252;PORTES LES VALENCE;26800;;PORTES LES VALENCE;44.875590276,4.8834792060000005
26257;PUYGIRON;26160;;PUYGIRON;44.540129098,4.854016575
26259;RATIERES;26330;;RATIERES;45.175144715,4.970854809
26270;ROCHECHINARD;26190;;ROCHECHINARD;45.026967567,5.24363111
26277;LA ROCHE SUR GRANE;26400;;LA ROCHE SUR GRANE;44.675234982,4.939585839
26279;LA ROCHETTE DU BUIS;26170;;LA ROCHETTE DU BUIS;44.261109728,5.42112421
26287;ROYNAC;26450;;ROYNAC;44.648746558,4.933841676
26288;SAHUNE;26510;;SAHUNE;44.406403494,5.272125196
26311;ST LAURENT EN ROYANS;26190;;ST LAURENT EN ROYANS;45.009924506,5.346438976
26313;ST MARCEL LES VALENCE;26320;;ST MARCEL LES VALENCE;44.972316676,4.95079446
26319;ST MICHEL SUR SAVASSE;26750;;ST MICHEL SUR SAVASSE;45.146676722,5.121626914
26323;ST PAUL LES ROMANS;26750;;ST PAUL LES ROMANS;45.058439752,5.12679995
25615;VILLARS LES BLAMONT;25310;;VILLARS LES BLAMONT;47.368383721,6.871414913
26324;ST PAUL TROIS CHATEAUX;26130;;ST PAUL TROIS CHATEAUX;44.348362717,4.75764944
25619;LES VILLEDIEU;25240;;LES VILLEDIEU;46.713906258,6.26583065
26339;SAVASSE;26740;L HOMME D ARMES;SAVASSE;44.606602596,4.778256808
25622;VILLERS BUZON;25170;;VILLERS BUZON;47.228558434,5.852186748
26341;SERVES SUR RHONE;26600;;SERVES SUR RHONE;45.141682393,4.83128456
25625;VILLERS LA COMBE;25510;;VILLERS LA COMBE;47.240809828,6.473842387
26349;TERSANNE;26390;;TERSANNE;45.216236022,5.016589915
25627;VILLERS SOUS CHALAMONT;25270;;VILLERS SOUS CHALAMONT;46.901588322,6.045328224
26352;LA TOUCHE;26160;;LA TOUCHE;44.517690883,4.886728885
25632;VOUJEAUCOURT;25420;;VOUJEAUCOURT;47.473552905,6.782505604
26359;VACHERES EN QUINT;26150;;VACHERES EN QUINT;44.785851187,5.250674622
26005;ALLAN;26780;;ALLAN;44.494772796,4.798705608
26360;VALAURIE;26230;;VALAURIE;44.420693219,4.810659398
26012;ARNAYON;26470;;ARNAYON;44.493378659,5.311424062
26368;VERCHENY;26340;;VERCHENY;44.714744722,5.248623992
26018;AULAN;26570;;AULAN;44.229871632,5.421906115
26374;VILLEBOIS LES PINS;05700;;VILLEBOIS LES PINS;44.319894409,5.597360114
26025;BARNAVE;26310;;BARNAVE;44.657417517,5.36704127
27014;AMFREVILLE SUR ITON;27400;;AMFREVILLE SUR ITON;49.156750042,1.146870286
26030;LA BATIE DES FONDS;26310;;LA BATIE DES FONDS;44.515357022,5.629605743
27032;CHAMBOIS;27240;THOMER LA SOGNE;CHAMBOIS;48.903700929,1.150740819
26054;BOUCHET;26790;;BOUCHET;44.297889924,4.884267214
27043;LES BAUX DE BRETEUIL;27160;;LES BAUX DE BRETEUIL;48.867071981,0.80176535
26055;BOULC;26410;;BOULC;44.637864001,5.584752035
27045;BAZINCOURT SUR EPTE;27140;;BAZINCOURT SUR EPTE;49.325664964,1.758152871
26055;BOULC;26410;RAVEL ET FERRIERS;BOULC;44.637864001,5.584752035
27047;BEAUBRAY;27190;;BEAUBRAY;48.910731361,0.9005451820000001
26058;BOURG LES VALENCE;26500;;BOURG LES VALENCE;44.965074915,4.894101357
27048;BEAUFICEL EN LYONS;27480;;BEAUFICEL EN LYONS;49.40462201,1.5246064860000001
26065;CHABRILLAN;26400;;CHABRILLAN;44.713207575,4.96041939
27049;MESNIL EN OUCHE;27330;EPINAY;MESNIL EN OUCHE;48.984169237,0.663553111
26066;LE CHAFFAL;26190;;LE CHAFFAL;44.873527478,5.178527282
27049;MESNIL EN OUCHE;27410;AJOU;MESNIL EN OUCHE;48.984169237,0.663553111
26069;CHAMALOC;26150;;CHAMALOC;44.812163115,5.385542014
27049;MESNIL EN OUCHE;27410;GRANCHAIN;MESNIL EN OUCHE;48.984169237,0.663553111
26070;CHAMARET;26230;;CHAMARET;44.394882513,4.875950662
27049;MESNIL EN OUCHE;27410;JONQUERETS DE LIVET;MESNIL EN OUCHE;48.984169237,0.663553111
26071;CHANOS CURSON;26600;;CHANOS CURSON;45.05746748,4.918170247
27050;BEAUMONTEL;27170;;BEAUMONTEL;49.095578177,0.7809136590000001
26075;LA CHARCE;26470;;LA CHARCE;44.466451658,5.444633077
27052;LE BEC HELLOUIN;27800;;LE BEC HELLOUIN;49.224984607,0.7263594830000001
26079;CHARPEY;26300;ST DIDIER DE CHARPEY;CHARPEY;44.943465377,5.079788339
27055;BERENGEVILLE LA CAMPAGNE;27110;;BERENGEVILLE LA CAMPAGNE;49.113577672,1.05862225
26080;CHASTEL ARNAUD;26340;;CHASTEL ARNAUD;44.659465081,5.209842724
27066;BEZU LA FORET;27480;;BEZU LA FORET;49.395528951,1.624694826
26085;CHATEAUNEUF DU RHONE;26780;;CHATEAUNEUF DU RHONE;44.503480345,4.724639081
27071;LE BOIS HELLAIN;27260;;LE BOIS HELLAIN;49.275935408,0.390685333
26086;CHATILLON EN DIOIS;26410;CREYERS;CHATILLON EN DIOIS;44.727672729,5.527827656
27072;BOIS JEROME ST OUEN;27620;;BOIS JEROME ST OUEN;49.103431019,1.547700003
26089;CHAUDEBONNE;26110;;CHAUDEBONNE;44.474916997,5.23866199
27078;LA BOISSIERE;27220;;LA BOISSIERE;48.951123549,1.3682981490000001
26092;CHAVANNES;26260;;CHAVANNES;45.103660246,4.924426332
27081;BONCOURT;27120;;BONCOURT;49.020916802,1.29714744
26094;CLAVEYSON;26240;;CLAVEYSON;45.173018025,4.933788902
27082;LA BONNEVILLE SUR ITON;27190;;LA BONNEVILLE SUR ITON;48.997430694,1.035269738
26096;CLERIEUX;26260;;CLERIEUX;45.080270594,4.954954155
27089;THENOUVILLE;27290;TOUVILLE SUR MONTFORT;THENOUVILLE;49.294797225,0.779810035
26101;COMPS;26220;;COMPS;44.552099099,5.104181652
27089;THENOUVILLE;27520;THEILLEMENT;THENOUVILLE;49.294797225,0.779810035
26110;CROZES HERMITAGE;26600;;CROZES HERMITAGE;45.097095561,4.843915655
27094;BOSQUENTIN;27480;;BOSQUENTIN;49.413177769,1.588352055
26114;DIEULEFIT;26220;;DIEULEFIT;44.530903236,5.065013493
27095;BOSROBERT;27800;;BOSROBERT;49.22043494,0.765222257
26117;ECHEVIS;26190;;ECHEVIS;45.024125446,5.385620338
27096;LES BOTTEREAUX;27250;;LES BOTTEREAUX;48.8713079,0.676368454
26124;ETOILE SUR RHONE;26800;;ETOILE SUR RHONE;44.831287204,4.874764086
27096;LES BOTTEREAUX;27250;VAUX SUR RISLE;LES BOTTEREAUX;48.8713079,0.676368454
26124;ETOILE SUR RHONE;26800;LA PAILLASSE;ETOILE SUR RHONE;44.831287204,4.874764086
27099;LE BOULAY MORIN;27930;;LE BOULAY MORIN;49.07596372,1.187330431
26126;EYGALAYES;26560;;EYGALAYES;44.221810137,5.594230453
27100;BOULLEVILLE;27210;;BOULLEVILLE;49.369923794,0.392535695
26127;EYGALIERS;26170;;EYGALIERS;44.240140808,5.284219517
27102;BOUQUETOT;27310;;BOUQUETOT;49.360938843,0.7695946480000001
26129;EYMEUX;26730;;EYMEUX;45.066679994,5.18280369
27105;GRAND BOURGTHEROULDE;27520;BOSC BENARD COMMIN;GRAND BOURGTHEROULDE;49.306375612,0.861932711
26129;EYMEUX;26730;L ECANCIERE;EYMEUX;45.066679994,5.18280369
27106;BOURNAINVILLE FAVEROLLES;27230;;BOURNAINVILLE FAVEROLLES;49.122964486,0.5004978840000001
26134;FELINES SUR RIMANDOULE;26160;;FELINES SUR RIMANDOULE;44.585420935,5.055253269
27106;BOURNAINVILLE FAVEROLLES;27230;BOURNAINVILLE;BOURNAINVILLE FAVEROLLES;49.122964486,0.5004978840000001
26149;HOSTUN;26730;;HOSTUN;45.031752266,5.203965316
27106;BOURNAINVILLE FAVEROLLES;27230;FAVEROLLES LES MARES;BOURNAINVILLE FAVEROLLES;49.122964486,0.5004978840000001
26162;LENS LESTANG;26210;;LENS LESTANG;45.296445596,5.040911444
27107;BOURNEVILLE STE CROIX;27500;STE CROIX SUR AIZIER;BOURNEVILLE STE CROIX;49.398763585,0.624705032
26165;LIVRON SUR DROME;26250;LES PETITS ROBINS;LIVRON SUR DROME;44.787431512,4.8387684140000005
27108;BOURTH;27580;;BOURTH;48.763343046,0.805963651
26166;LORIOL SUR DROME;26270;;LORIOL SUR DROME;44.749912404,4.805783783
27109;BRAY;27170;;BRAY;49.104451683,0.83678131
26167;LUC EN DIOIS;26310;;LUC EN DIOIS;44.610395917,5.45862719
27112;BRETEUIL;27160;CINTRAY;BRETEUIL;48.82647523,0.8926102610000001
26170;MALISSARD;26120;;MALISSARD;44.901012356,4.958671397
27115;BREUX SUR AVRE;27570;;BREUX SUR AVRE;48.767299641,1.072142251
26174;MARGES;26260;;MARGES;45.131675166,5.030006513
27133;CAUMONT;27310;;CAUMONT;49.367133625,0.9076812420000001
26199;MONTFERRAND LA FARE;26510;;MONTFERRAND LA FARE;44.342279454,5.449951443
27134;CAUVERVILLE EN ROUMOIS;27350;;CAUVERVILLE EN ROUMOIS;49.35565286,0.647653916
26200;MONTFROC;26560;;MONTFROC;44.172581072,5.637971415
27138;CHAMBLAC;27270;BOSC MOREL;CHAMBLAC;48.99262414,0.562909255
26202;MONTJOUX;26220;;MONTJOUX;44.489473933,5.1033387
27139;CHAMBORD;27250;;CHAMBORD;48.88219481,0.620334606
26205;MONTMAUR EN DIOIS;26150;;MONTMAUR EN DIOIS;44.678379452,5.363750812
27147;LA CHAPELLE DU BOIS DES FAULX;27930;;LA CHAPELLE DU BOIS DES FAULX;49.109312818,1.170694094
26208;MONTOISON;26800;;MONTOISON;44.797481632,4.930443744
27153;CHAUVINCOURT PROVEMONT;27150;;CHAUVINCOURT PROVEMONT;49.281000867,1.645251482
26209;MONTREAL LES SOURCES;26510;;MONTREAL LES SOURCES;44.400585157,5.306822557
27158;CIERREY;27930;;CIERREY;49.001959247,1.266781494
26211;MONTSEGUR SUR LAUZON;26130;;MONTSEGUR SUR LAUZON;44.367787841,4.857559771
27162;COLLANDRES QUINCARNON;27190;;COLLANDRES QUINCARNON;48.993708702,0.8622287660000001
26213;MORAS EN VALLOIRE;26210;;MORAS EN VALLOIRE;45.285901433,4.999954842
27165;CONCHES EN OUCHE;27190;;CONCHES EN OUCHE;48.954695406,0.9320137070000001
26214;MORNANS;26460;;MORNANS;44.621209405,5.133479681
27167;CONDE SUR RISLE;27290;;CONDE SUR RISLE;49.307485598,0.608839943
26215;LA MOTTE CHALANCON;26470;;LA MOTTE CHALANCON;44.49554452,5.384693271
27168;CONNELLES;27430;;CONNELLES;49.26031693,1.276330374
26216;ST JEAN DE GALAURE;26240;MUREILS;ST JEAN DE GALAURE;45.199048283,4.900813422
27177;COUDRES;27220;;COUDRES;48.863369175,1.235299332
26218;MOURS ST EUSEBE;26540;;MOURS ST EUSEBE;45.070824393,5.058943993
27189;LA CROISILLE;27190;;LA CROISILLE;48.990756697,0.9757475630000001
26224;OURCHES;26120;;OURCHES;44.806417523,5.046262908
27192;CROSVILLE LA VIEILLE;27110;;CROSVILLE LA VIEILLE;49.152115036,0.9312228100000001
26236;PIERRELONGUE;26170;;PIERRELONGUE;44.249714464,5.214508226
27198;MESNILS SUR ITON;27240;BOISSY SUR DAMVILLE;MESNILS SUR ITON;48.848498895,1.05233504
26238;LES PILLES;26110;;LES PILLES;44.377931434,5.199316975
